Disease,Precaution_1,Precaution_2,Precaution_3,Precaution_4
Drug Reaction,Immediately stop the suspected medication,Seek medical attention at the nearest hospital,Avoid self-medication until evaluated,Attend follow-up appointments as advised
Malaria,Visit a hospital immediately for blood tests and treatment,Avoid oily and heavy foods during illness,Consume light and nutritious meals,Use mosquito nets and repellents
Allergy,Apply calamine lotion to reduce itching,Use a clean bandage to cover affected skin,Apply cold compress or ice packs,Avoid known allergens and triggers
Hypothyroidism,Manage stress through relaxation techniques,Engage in regular light exercise,Maintain a balanced iodine-rich diet,Ensure adequate and consistent sleep
Psoriasis,Wash affected skin gently with lukewarm water,Apply pressure if bleeding occurs,Consult a dermatologist for treatment,Use salt or oatmeal baths to soothe skin
GERD,Avoid spicy and fatty foods,Do not lie down immediately after meals,Maintain a healthy body weight,Exercise regularly but avoid late-night workouts
Chronic cholestasis,Take cool baths to relieve itching,Use prescribed anti-itch medications,Consult a specialist regularly,Follow a healthy low-fat diet
Hepatitis A,Seek medical care for diagnosis and monitoring,Maintain strict hand hygiene,Avoid fatty and spicy foods,Take medications as prescribed
Osteoarthristis,Use acetaminophen or prescribed pain relief,Consult an orthopedic specialist,Attend regular follow-ups,Take warm salt baths for joint relief
(vertigo) Paroymsal  Positional Vertigo,Lie down during dizzy spells,Avoid sudden body movements,Avoid abrupt head movements,Practice relaxation and balance exercises
Hypoglycemia,Lay the person on their side safely,Check pulse and blood sugar if possible,Consume sugary drinks or glucose tablets,Seek medical help if symptoms persist
Acne,Bathe gently twice daily,Limit oily and spicy foods,Drink plenty of water,Avoid excessive cosmetic or skin products
Diabetes,Maintain a balanced low-sugar diet,Engage in regular physical activity,Consult a physician regularly,Attend routine follow-up checkups
Impetigo,Soak affected area in warm water,Use prescribed antibiotic creams,Remove scabs gently with wet compress,Consult a healthcare professional
Hypertension,Practice meditation or breathing exercises,Reduce dietary salt intake,Manage stress effectively,Ensure proper and regular sleep
Peptic ulcer diseae,Avoid spicy and fatty foods,Consume probiotic-rich foods,Limit milk intake if advised,Reduce or eliminate alcohol consumption
Dimorphic hemmorhoids(piles),Avoid spicy and fatty foods,Apply witch hazel for relief,Take warm Epsom salt baths,Consume aloe vera juice or high-fiber foods
Common Cold,Drink vitamin-C rich fluids,Take steam inhalation,Avoid cold foods and drinks,Control fever with rest and medication
Chicken pox,Bathe with neem-infused water,Consume neem leaves if advised,Ensure vaccination for prevention,Avoid crowded or public places
Cervical spondylosis,Apply heating pad or cold pack to neck,Perform neck strengthening exercises,Use OTC pain relievers if needed,Consult a doctor for persistent pain
Hyperthyroidism,Maintain a nutritious balanced diet,Use gentle neck massage,Try lemon balm tea if advised,Follow radioactive iodine or medical treatment
Urinary tract infection,Drink plenty of water daily,Increase vitamin C intake,Consume cranberry juice,Take probiotics or antibiotics as prescribed
Varicose veins,Lie down and elevate legs regularly,Apply prescribed ointments,Use compression stockings,Avoid standing or sitting still for long periods
AIDS,Avoid contact with open wounds,Use protective equipment when needed,Consult an infectious disease specialist,Maintain regular medical follow-ups
Paralysis (brain hemorrhage),Engage in guided physiotherapy,Maintain a healthy diet,Perform supervised exercises,Consult neurologist regularly
Typhoid,Consume high-calorie vegetarian meals,Complete antibiotic therapy fully,Consult doctor immediately,Take prescribed medications
Hepatitis B,Seek immediate medical consultation,Get vaccinated if advised,Follow a nutritious diet,Take antiviral medication as prescribed
Fungal infection,Bathe twice daily with antifungal wash,Use neem or medicated water,Keep affected area dry,Wear clean and loose clothing
Hepatitis C,Consult a healthcare specialist,Follow antiviral treatment strictly,Eat a balanced diet,Attend regular follow-ups
Migraine,Practice meditation or relaxation,Reduce physical and mental stress,Use polarized sunglasses in sunlight,Consult a neurologist if frequent
Bronchial Asthma,Wear loose comfortable clothing,Practice deep breathing exercises,Avoid known triggers like dust or smoke,Seek medical help during attacks
Alcoholic hepatitis,Stop alcohol consumption completely,Consult a liver specialist,Follow prescribed medication,Attend regular medical follow-ups
Jaundice,Drink plenty of fluids,Consume milk thistle if recommended,Eat fruits and high-fiber foods,Take prescribed medications
Hepatitis E,Avoid alcohol entirely,Take adequate rest,Consult a doctor promptly,Use medications as advised
Dengue,Drink papaya leaf juice if advised,Avoid oily and spicy foods,Prevent mosquito exposure,Maintain good hydration
Hepatitis D,Consult a liver specialist,Follow prescribed medication,Maintain a healthy diet,Attend regular follow-ups
Heart attack,Call emergency medical services immediately,Chew or swallow aspirin if advised,Keep the patient calm and seated,Loosen tight clothing
Pneumonia,Consult a doctor for diagnosis,Take prescribed antibiotics,Get adequate rest,Attend follow-up appointments
Arthritis,Engage in low-impact exercises,Use hot and cold therapy,Try acupuncture if recommended,Massage affected joints gently
Gastroenteritis,Avoid solid foods temporarily,Sip water or ORS frequently,Get sufficient rest,Gradually resume normal diet
Tuberculosis,Cover mouth when coughing or sneezing,Consult a TB specialist,Complete full medication course,Ensure adequate rest
